,Volume
0,186513077.5
1,179344868
2,175466109.6
3,173568128.5
4,169911740.9
5,162505354.1
6,153105203.5
7,144106377.8
8,137650019.4
9,134800522.7
10,136210743.3
11,141301084
12,148182163.6
13,155129037.2
14,160911439.2
15,164091583.4
16,163493304
17,158623125.9
18,150801332.8
19,142080057.7
20,134750970.9
21,130578287.7
22,130610930.6
23,134727755.2
24,140916745.9
25,147338022.5
26,152891418.2
27,156855427.9
28,158655327.7
29,157519461.3
30,153140659.3
31,146845171.5
32,140824660.1
33,137145650.7
34,137416154.3
35,141728549.4
36,148076037.2
37,154464037.7
38,159759098.2
39,163837321.5
40,166853562.5
41,168255250.3
42,167727196.5
43,165102494.9
44,161557996.9
45,159211181.8
46,159933896.5
47,163833942.8
48,169032238.1
49,173425725.2
50,176120968.6
51,177606042.4
52,179118504.3
53,180965592.2
54,182006732.4
55,181040537.1
56,178308960.9
57,175519347.1
58,174702963
59,176475483.7
60,179289694.9
61,180647218.4
62,179504993.8
63,176843836.8
64,174803390
65,174683410.4
66,175854860.4
67,176454127.1
68,175378622.8
69,173350743.1
70,171994758.3
71,172060391.5
72,172605673.7
73,171234154.5
74,166743960.1
75,160556130.8
76,155198417.2
77,152617925.3
78,153253455.4
79,155846131.1
80,158550216.6
81,161284786.1
82,164310161
83,166535758.9
84,167811525
85,166910570.5
86,163339723
87,157600753
88,151956879
89,148745498.1
90,149475636.7
91,153602100.6
92,159206399.3
93,164406376.6
94,168910720.3
95,172965212.5
96,175635898.8
97,175405029.2
98,171265320.3
99,163846775.4
100,155745549.6
101,149969230.4
102,148361752.7
103,151405043.1
104,157682328.1
105,164973058
106,172190011.5
107,178698618
108,183403321.5
109,184699046.5
110,181313986.1
111,173660827.3
112,164097230
113,155519743.9
114,150207762.7
115,149250390.8
116,152467328
117,157847824.3
118,163704187
119,169011054.7
120,172400105.8
121,172433512.3
122,168142055
123,159790849.8
124,149224268.3
125,138968287.8
126,131188430.8
127,127165573.1
128,127328623.8
129,131684587.5
130,138800994.9
131,147142323.2
132,154944981.1
133,160258588.3
134,161415091.3
135,157740649.8
136,150468778.9
137,141791126.9
138,133995831.3
139,128866579
140,127486132.3
141,130381420.6
142,136646322.6
143,144558791.2
144,152239829.3
145,157804187.4
146,159749150.8
147,157292801
148,151082932.3
149,142789350.8
150,134417823.3
151,127755841.5
152,124088881.9
153,124363471.9
154,128710299.6
155,135711899.3
156,143522952.7
157,150194392.9
158,154139633.3
159,154429124.5
160,151028495.6
161,145078256.4
162,138233954.1
163,132216988.8
164,128588467.8
165,128637129.2
166,132913832.1
167,140262359.1
168,148764187.1
169,156477417.3
