Datetime,CopanoEast,MARABWQ
2010-01-05 10:00:00,26.998369271195504,30.151619135945577
2010-01-05 12:00:00,15.0,18.7
2010-01-05 14:00:00,15.2,19.7
2010-01-05 16:00:00,14.0,20.2
2010-01-05 18:00:00,13.3,20.3
2010-01-05 20:00:00,11.5,19.7
2010-01-05 22:00:00,15.2,19.5
2010-01-06 00:00:00,15.2,19.5
2010-01-06 02:00:00,15.2,19.4
2010-01-06 04:00:00,15.3,19.6
2010-01-06 06:00:00,15.3,19.7
2010-01-06 08:00:00,15.4,19.8
2010-01-06 10:00:00,13.5,19.6
2010-01-06 12:00:00,13.9,19.5
2010-01-06 14:00:00,14.1,19.7
2010-01-06 16:00:00,14.3,19.2
2010-01-06 18:00:00,15.7,19.4
2010-01-06 20:00:00,14.1,19.7
2010-01-06 22:00:00,15.9,20.0
2010-01-07 00:00:00,15.9,20.1
2010-01-07 02:00:00,16.0,20.4
2010-01-07 04:00:00,16.1,20.3
2010-01-07 06:00:00,15.7,20.8
2010-01-07 08:00:00,15.6,21.0
2010-01-07 10:00:00,15.5,19.8
2010-01-07 12:00:00,15.4,19.2
2010-01-07 14:00:00,15.4,19.1
2010-01-07 16:00:00,15.4,18.8
2010-01-07 18:00:00,15.0,18.6
2010-01-07 20:00:00,15.0,18.5
2010-01-07 22:00:00,15.0,18.2
2010-01-08 00:00:00,15.0,17.4
2010-01-08 02:00:00,15.1,18.1
2010-01-08 04:00:00,14.9,18.8
2010-01-08 06:00:00,14.9,19.0
2010-01-08 08:00:00,14.9,19.2
2010-01-08 10:00:00,15.1,18.4
2010-01-08 12:00:00,15.3,18.1
2010-01-08 14:00:00,15.2,17.9
2010-01-08 16:00:00,15.4,17.8
2010-01-08 18:00:00,15.0,18.3
2010-01-08 20:00:00,15.2,18.8
2010-01-08 22:00:00,15.2,18.8
2010-01-09 00:00:00,15.2,18.8
2010-01-09 02:00:00,15.0,18.5
2010-01-09 04:00:00,14.9,18.4
2010-01-09 06:00:00,14.8,18.7
2010-01-09 08:00:00,14.8,18.5
2010-01-09 10:00:00,15.0,18.4
2010-01-09 12:00:00,15.1,18.6
