Datetime,salt_vavg,CopanoEast,MARABWQ,avg,sigma,sigma1
1/5/2010 12:00,14.51146079,15,18.7,16.85,0.86121429,0.776013946
1/5/2010 14:00,14.42498072,15.2,19.7,17.45,0.82664646,0.732232524
1/5/2010 16:00,14.39420094,14,20.2,17.1,0.841766137,0.712584205
1/5/2010 18:00,14.44867801,13.3,20.3,16.8,0.860040358,0.711757537
1/5/2010 20:00,14.53545922,11.5,19.7,15.6,0.931760207,0.73784057
1/5/2010 22:00,14.57781505,15.2,19.5,17.35,0.840219887,0.747580259
1/6/2010 0:00,14.546437,15.2,19.5,17.35,0.838411354,0.745971128
1/6/2010 2:00,14.4652173,15.2,19.4,17.3,0.836139728,0.745629758
1/6/2010 4:00,14.39928252,15.3,19.6,17.45,0.825173783,0.734657271
1/6/2010 6:00,14.39436431,15.3,19.7,17.5,0.822535103,0.730678391
1/6/2010 8:00,14.43187439,15.4,19.8,17.6,0.819992863,0.728882545
1/6/2010 10:00,14.45050513,13.5,19.6,16.55,0.873142304,0.73727067
1/6/2010 12:00,14.41589825,13.9,19.5,16.7,0.86322744,0.739276833
1/6/2010 14:00,14.34737385,14.1,19.7,16.9,0.848957032,0.728293089
1/6/2010 16:00,14.29897756,14.3,19.2,16.75,0.853670302,0.744738415
1/6/2010 18:00,14.29979183,15.7,19.4,17.55,0.814802953,0.737102672
1/6/2010 20:00,14.32385198,14.1,19.7,16.9,0.847565206,0.727099085
1/6/2010 22:00,14.28171098,15.9,20,17.95,0.795638495,0.714085549
1/7/2010 0:00,14.1346289,15.9,20.1,18,0.785257161,0.703215368
1/7/2010 2:00,13.94391397,16,20.4,18.2,0.766149119,0.683525195
1/7/2010 4:00,13.80602417,16.1,20.3,18.2,0.758572757,0.680099713
1/7/2010 6:00,13.75589663,15.7,20.8,18.25,0.75374776,0.661341184
1/7/2010 8:00,13.78131362,15.6,21,18.3,0.753077247,0.656253029
1/7/2010 10:00,13.85725592,15.5,19.8,17.65,0.78511365,0.69986141
1/7/2010 12:00,13.947428,15.4,19.2,17.3,0.806209711,0.726428542
1/7/2010 14:00,14.04926231,15.4,19.1,17.25,0.814449989,0.735563471
1/7/2010 16:00,14.12227532,15.4,18.8,17.1,0.825864054,0.751184857
1/7/2010 18:00,14.1778638,15,18.6,16.8,0.843920464,0.762250742
1/7/2010 20:00,14.20681989,15,18.5,16.75,0.848168352,0.76793621
1/7/2010 22:00,14.19794303,15,18.2,16.6,0.855297773,0.78010676
1/8/2010 0:00,14.12088371,15,17.4,16.2,0.871659488,0.811545041
1/8/2010 2:00,13.97093254,15.1,18.1,16.6,0.841622442,0.771874726
1/8/2010 4:00,13.83019916,14.9,18.8,16.85,0.820783333,0.735648892
1/8/2010 6:00,13.75822324,14.9,19,16.95,0.811694587,0.724117013
1/8/2010 8:00,13.7773851,14.9,19.2,17.05,0.808057777,0.717572141
1/8/2010 10:00,13.87858104,15.1,18.4,16.75,0.828572003,0.754270709
1/8/2010 12:00,14.01083818,15.3,18.1,16.7,0.838972346,0.774079457
1/8/2010 14:00,14.12907604,15.2,17.9,16.55,0.853720606,0.789333857
1/8/2010 16:00,14.23522758,15.4,17.8,16.6,0.85754383,0.799731887
1/8/2010 18:00,14.33050142,15,18.3,16.65,0.860690776,0.783087509
1/8/2010 20:00,14.39270079,15.2,18.8,17,0.846629458,0.765569191
1/8/2010 22:00,14.39446559,15.2,18.8,17,0.84673327,0.765663063
1/9/2010 0:00,14.30486129,15.2,18.8,17,0.841462429,0.760896877
1/9/2010 2:00,14.13592536,15,18.5,16.75,0.843935842,0.764104073
1/9/2010 4:00,13.95527978,14.9,18.4,16.65,0.838154942,0.758439119
1/9/2010 6:00,13.84176492,14.8,18.7,16.75,0.826374025,0.740201332
1/9/2010 8:00,13.81114875,14.8,18.5,16.65,0.829498423,0.746548581
1/9/2010 10:00,13.88413519,15,18.4,16.7,0.831385341,0.754572565
1/9/2010 12:00,14.03690673,15.1,18.6,16.85,0.833050844,0.754672405
1/9/2010 14:00,14.21020185,15.2,18.7,16.95,0.838359991,0.759903843
1/9/2010 16:00,14.37991977,15.4,18.7,17.05,0.843397054,0.768979667
1/9/2010 18:00,14.52581061,15.5,18.7,17.1,0.849462609,0.776781316
1/9/2010 20:00,14.63490816,15.5,18.9,17.2,0.850866754,0.774333765
1/9/2010 22:00,14.67079646,15.8,18.6,17.2,0.852953282,0.788752498
1/10/2010 0:00,14.60095298,16.1,18.6,17.35,0.841553486,0.784997472
1/10/2010 2:00,14.43659802,16,19.4,17.7,0.815627007,0.744154537
1/10/2010 4:00,14.21945711,15.6,20,17.8,0.798845905,0.710972855
1/10/2010 6:00,14.03178142,15.3,18.8,17.05,0.822978382,0.746371352
1/10/2010 8:00,13.91545464,14.9,18.5,16.7,0.833260757,0.752186737
1/10/2010 10:00,13.89652679,14.9,18.5,16.7,0.832127353,0.75116361
1/10/2010 12:00,13.97721288,15.1,18.5,16.8,0.831976957,0.75552502
1/10/2010 14:00,14.1082291,15.3,18.5,16.9,0.834806456,0.762606979
1/10/2010 16:00,14.2515354,15.4,18.5,16.95,0.840798549,0.770353265
1/10/2010 18:00,14.38030766,15.8,18.7,17.25,0.833641024,0.76900041
1/10/2010 20:00,14.46413623,15.9,18.6,17.25,0.838500651,0.777641733
1/10/2010 22:00,14.46912626,13.5,18.7,16.1,0.898703495,0.773750068
1/11/2010 0:00,14.36927547,15.9,19,17.45,0.823454182,0.756277657
1/11/2010 2:00,14.16977547,16.1,19.2,17.65,0.80282014,0.738009139
1/11/2010 4:00,13.92028711,16.1,19.8,17.95,0.77550346,0.703044803
1/11/2010 6:00,13.73372935,16,21.2,18.6,0.738372546,0.647817422
1/11/2010 8:00,13.62342483,15.6,19.7,17.65,0.77186543,0.691544408
1/11/2010 10:00,13.57249007,15.6,19.2,17.4,0.780028165,0.706900524
1/11/2010 12:00,13.57839803,15.8,18.8,17.3,0.784878499,0.722255214
1/11/2010 14:00,13.68895649,15.8,19,17.4,0.786721637,0.720471394
